Lafen Dahmer,Grunt,gefrakt 
Iving Chip,Grunt,orderofthedarkoats 
Karn Immal,Mercenary,gamarr 
Horth Donkin,Asher Reyne's Squire,athare 
Haedrig Eroll,Adventurer,murdo_of_astora 
Sypar Saccus,Recruit,lipplop 
Gonny Kosk,Raider,sparkydiesalot 
Lanny Zeschule,Unknown,whitemalealphamonster 
Dace Fisher,Amuser,zacyril 
Dorian,Bum,bluethulhu 
Hui Jin,Adventurer,zombiegamer31 
Larry Baldo,Unknown,este788 
Gleya Wode,Grave Robber,themaskedman2 
Klint Morgan,Trader,googles_hands 
Bato Sui,Fisher,blindbutler 
Macilia Peystone,Trader,eugeneshev 
Jevek,Bum,pauls4eva 
Blake Ray,Soiler,amuys 
Harold Simmons,Consyte,keuim007 
Jared Christopherson,Swashbuckler,anaedum 
Isaiah Coleman,Mushroomcutter,dawes 
Huffie Cox,Mushroomcutter,omegazip2 
Bo Tong,Soiler,goodguy1448 
Maryann Murrans,Amuser,zombiegamer31 
Opie Woodward,Unknown,dr peeter 
Morra Wilo,Fisher,thegel 
Khan Dramm,Drugdealer,nopls 
Brody Belyaev,Nick Cave's Squire,lol18
Copetti Bolsonaro,Baron,ltkoepple 
Neva Sighora,Hump,thegel 
Russell Carver,Esculap,gb 
Cueis Pushek,Sniffer,artur_lang 
Daat Saccus,Alchemist,fliche 
Aleid Schmitt,Mortus,getbrecked 
Vera Mercury,Pusher,damianq 
Borak Katabo,Unknown,whitemalealphamonster 
Wyatt Hardwick,Inquisitor,feverish 
Bialar Crais,Mercenary,gamarr 
Jane Dan Boughter,Servant,zombiegamer31 
Hannes Saccus,Priest,glastonburymkii 
Opie Woodward,Jester,dr peeter 
Dezso Scalia,Incarn,gefrakt 
Lisa Bolsonaro,Successor,priszma 
Morlis Gargalen,Geschef,advisorman 
Sypar Saccus,Mercenary,lipplop 
Styval Staben,Practicus,villeri 
Larry Baldo,Unknown,este788 
Jenk Mauser,Laborer,rockyroadranch 
Spyridon Manse,Censor,army231 
Lickah,Bum,farcry11 
Tania Schmitt,Fortune-teller,themaskedman2 
Vort Dan Boughter,Merchant,spin 
Ryker Gargalen,Rookie Cerberus,tidetheman 
Klint Morgan,Innkeeper,googles_hands 
Jamba Msia,Bishop,matkotaur 
Elena Morgan,Innkeeper's Wife,xperia15 
Joshua Scalia,Treasurer,pauls4eva 
Morlis Sighora,Soiler,amuys 
Emer Schmitt,Factory Kid,goodguy1448 
Cade Mercury,Docker,nocco 
Brody Schmitt,Weaponsmith,lol18 
Finn Honeycomb,Ravenhearter,akesson
Horth Donkin,Misero,athare 
